soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
c.tot_usda.a622_w.pct,mir,kssl,na,original,LandCare,69,1.258,0.471,0.987,0.975,1.61
c.tot_usda.a622_w.pct,mir,kssl,na,original,Lesotho,69,5.502,2.022,0.762,0.287,0.368
c.tot_usda.a622_w.pct,mir,kssl,na,original,MSU,69,0.834,0.092,0.987,0.99,2.427
c.tot_usda.a622_w.pct,mir,kssl,na,original,OSU,69,0.808,-0.003,0.991,0.992,2.508
c.tot_usda.a622_w.pct,mir,kssl,na,original,Rothamsted,69,0.707,0.066,0.987,0.993,2.865
c.tot_usda.a622_w.pct,mir,kssl,na,original,Scion,69,1.041,-0.462,0.977,0.985,1.946
c.tot_usda.a622_w.pct,mir,kssl,na,original,UGhent,69,1.905,0.625,0.982,0.936,1.063
c.tot_usda.a622_w.pct,mir,kssl,na,original,UIUC,69,5.319,-1.53,0.987,0.826,0.381
c.tot_usda.a622_w.pct,mir,kssl,na,original,USP,69,1.099,0.136,0.975,0.985,1.842
c.tot_usda.a622_w.pct,mir,kssl,na,original,UWisc_fine,69,0.734,0.113,0.986,0.993,2.758
c.tot_usda.a622_w.pct,mir,kssl,na,original,Woodwell_alpha,69,0.787,-0.033,0.984,0.992,2.573
c.tot_usda.a622_w.pct,mir,kssl,na,original,Woodwell_vertex,69,1.251,-0.17,0.989,0.982,1.619
c.tot_usda.a622_w.pct,mir,ossl,na,original,Agrocares,69,0.935,-0.236,0.982,0.987,2.166
c.tot_usda.a622_w.pct,mir,ossl,na,original,Argonne,69,1.627,-0.398,0.99,0.972,1.245
c.tot_usda.a622_w.pct,mir,ossl,na,original,CSU_IL,69,0.854,0.17,0.99,0.989,2.371
c.tot_usda.a622_w.pct,mir,ossl,na,original,ETH_alpha_1,69,0.844,0.184,0.982,0.99,2.401
c.tot_usda.a622_w.pct,mir,ossl,na,original,ETH_alpha_2,69,0.561,0.149,0.992,0.996,3.609
c.tot_usda.a622_w.pct,mir,ossl,na,original,ETH_vertex,69,0.672,0.253,0.99,0.994,3.014
c.tot_usda.a622_w.pct,mir,ossl,na,original,IAEA_aug2022,69,3.493,-1.365,0.984,0.901,0.58
c.tot_usda.a622_w.pct,mir,ossl,na,original,KSSL,69,0.808,0.13,0.989,0.99,2.506
c.tot_usda.a622_w.pct,mir,ossl,na,original,LandCare,69,1.315,0.505,0.987,0.972,1.54
c.tot_usda.a622_w.pct,mir,ossl,na,original,Lesotho,69,4.79,1.22,0.79,0.447,0.423
c.tot_usda.a622_w.pct,mir,ossl,na,original,MSU,69,0.827,0.074,0.987,0.99,2.448
c.tot_usda.a622_w.pct,mir,ossl,na,original,OSU,69,0.771,-0.033,0.992,0.993,2.628
c.tot_usda.a622_w.pct,mir,ossl,na,original,Rothamsted,69,0.701,0.082,0.987,0.993,2.889
c.tot_usda.a622_w.pct,mir,ossl,na,original,Scion,69,1.003,-0.375,0.98,0.986,2.019
c.tot_usda.a622_w.pct,mir,ossl,na,original,UGhent,69,1.867,0.61,0.983,0.939,1.085
c.tot_usda.a622_w.pct,mir,ossl,na,original,UIUC,69,5.06,-1.344,0.99,0.838,0.4
c.tot_usda.a622_w.pct,mir,ossl,na,original,USP,69,1.181,0.098,0.974,0.983,1.715
c.tot_usda.a622_w.pct,mir,ossl,na,original,UWisc_fine,69,0.735,0.087,0.986,0.993,2.755
c.tot_usda.a622_w.pct,mir,ossl,na,original,Woodwell_alpha,69,0.766,-0.034,0.985,0.992,2.643
c.tot_usda.a622_w.pct,mir,ossl,na,original,Woodwell_vertex,69,1.271,-0.219,0.989,0.982,1.594
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Agrocares,69,0.349,-0.111,0.447,0.626,1.465
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Argonne,69,0.34,0.14,0.505,0.641,1.506
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,CSU_IL,69,0.381,0.21,0.478,0.569,1.343
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,ETH_alpha_1,69,0.359,0.158,0.465,0.601,1.424
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,ETH_alpha_2,69,0.318,0.071,0.505,0.677,1.607
