soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,KSSL,69,0.279,0.012,0.614,0.781,1.831
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,LandCare,69,0.319,0.055,0.564,0.745,1.604
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Lesotho,69,4.446,-3.12,0,-0.001,0.115
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,MSU,69,0.278,0.01,0.631,0.793,1.841
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,OSU,69,0.426,0.002,0.44,0.643,1.2
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Rothamsted,69,0.364,-0.078,0.539,0.715,1.406
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Scion,69,0.522,-0.199,0.506,0.611,0.98
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,UGhent,69,0.593,-0.078,0.163,0.379,0.863
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,UIUC,69,0.88,-0.189,0.169,0.305,0.581
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,USP,69,0.457,-0.126,0.391,0.591,1.12
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,UWisc_fine,69,0.463,-0.172,0.352,0.551,1.104
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Woodwell_alpha,69,0.317,-0.046,0.599,0.766,1.613
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Woodwell_vertex,69,0.342,-0.015,0.587,0.753,1.494
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Agrocares,69,0.22,-0.037,0.756,0.858,2.323
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Argonne,69,0.302,0.103,0.588,0.688,1.691
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,CSU_IL,69,0.37,0.191,0.498,0.531,1.381
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,ETH_alpha_1,69,0.317,0.05,0.497,0.675,1.614
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,ETH_alpha_2,69,0.278,-0.008,0.604,0.767,1.836
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,ETH_vertex,69,0.355,-0.067,0.375,0.56,1.441
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,IAEA_aug2022,69,1.71,-1.168,0.294,0.189,0.299
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,KSSL,69,0.29,0.082,0.601,0.729,1.765
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,LandCare,69,0.319,0.133,0.584,0.646,1.604
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Lesotho,69,0.937,-0.522,0.04,-0.126,0.546
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,MSU,69,0.268,0.091,0.682,0.76,1.905
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,OSU,69,0.391,0.018,0.362,0.601,1.308
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Rothamsted,69,0.257,0.034,0.664,0.802,1.987
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Scion,69,0.449,-0.151,0.515,0.655,1.14
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,UGhent,69,0.575,-0.06,0.129,0.347,0.89
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,UIUC,69,0.491,-0.133,0.483,0.624,1.041
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,USP,69,0.334,0.01,0.451,0.662,1.53
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,UWisc_fine,69,0.301,0.062,0.554,0.715,1.701
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Woodwell_alpha,69,0.278,0.047,0.612,0.744,1.838
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Woodwell_vertex,69,0.287,-0.029,0.595,0.765,1.781
oc_usda.c729_w.pct,mir,kssl,na,original,Agrocares,69,1.339,-0.475,0.982,0.979,1.404
oc_usda.c729_w.pct,mir,kssl,na,original,Argonne,69,0.947,-0.294,0.988,0.989,1.985
oc_usda.c729_w.pct,mir,kssl,na,original,CSU_IL,69,0.624,-0.202,0.994,0.995,3.013
oc_usda.c729_w.pct,mir,kssl,na,original,ETH_alpha_1,69,1.182,-0.236,0.993,0.984,1.59
oc_usda.c729_w.pct,mir,kssl,na,original,ETH_alpha_2,69,0.72,-0.049,0.992,0.994,2.61
oc_usda.c729_w.pct,mir,kssl,na,original,ETH_vertex,69,0.504,0.041,0.995,0.997,3.726
